Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (kph),Distance (km),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/km)
2023-09-02 12:18 (CDT),On Demand,Ben Alldis,10,Stretching,Full Body Stretch,10 min Full Body Stretch,2023-06-29 07:03 (CDT),,,,,,,29,67.14,,
2023-09-03 08:50 (-05),On Demand,Mila Lazar,5,Cycling,Warm Up,5 min Warm Up Ride,2023-08-17 03:00 (-05),29,86,33%,89,23.92,2.11,38,,,
2023-09-03 08:59 (-05),On Demand,Mayla Wedekind,15,Cycling,Climb,15 min Climb Ride,2023-07-29 02:52 (-05),228,253,59%,73,37.00,9.25,197,139.74,,
2023-09-03 09:15 (-05),On Demand,Bradley Rose,15,Cycling,Music,15 min 90s Ride,2023-07-29 05:55 (-05),151,168,48%,80,31.69,7.92,193,146.84,,
2023-09-03 09:31 (-05),On Demand,Mila Lazar,5,Cycling,Cool Down,5 min Cool Down Ride,2023-08-31 00:15 (-05),28,94,38%,80,25.04,2.08,37,,,
2023-09-03 09:37 (-05),On Demand,Jenn Sherman,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2022-06-01 10:00 (-05),,,,,,,15,,,
2023-09-04 12:00 (CDT),On Demand,Rebecca Kennedy,20,Strength,Full Body,20 min Strength Roll Call: Full Body,2023-08-07 06:27 (CDT),,,,,,,121,84.86,,
2023-09-04 12:31 (CDT),On Demand,Emma Lovewell,5,Strength,Core,5 min Core Strength,2023-08-27 11:55 (CDT),,,,,,,30,,,
2023-09-04 12:38 (CDT),On Demand,Hannah Corbin,10,Strength,Barre,10 min Barre,2021-06-09 09:00 (CDT),,,,,,,59,,,
2023-09-04 12:49 (CDT),On Demand,Ben Alldis,10,Stretching,Full Body Stretch,10 min Full Body Stretch,2023-06-29 07:03 (CDT),,,,,,,29,,,
2023-09-04 15:26 (CDT),On Demand,Kirra Michel,10,Meditation,Sleep,10 min Sleep Meditation,2023-08-08 10:00 (CDT),,,,,,,,,,
2023-09-05 11:23 (CDT),On Demand,Kirra Michel,5,Meditation,Meditation Basics,5 min Basics: Breath,2023-03-29 09:00 (CDT),,,,,,,,,,
2023-09-06 05:47 (CDT),On Demand,Kristin McGee,5,Yoga,Yoga Basics,5 min Basics: Cobra,2022-04-06 11:00 (CDT),,,,,,,24,,,
2023-09-06 11:12 (CDT),On Demand,Chelsea Jackson Roberts,5,Meditation,Relaxation,5 min Calming Meditation,2023-05-19 10:00 (CDT),,,,,,,,,,
2023-09-06 17:31 (-05),On Demand,Ben Alldis,30,Cycling,Power Zone,30 min Power Zone Endurance Classic Rock,2023-09-06 11:00 (-05),311,173,48%,81,32.10,16.05,332,126.55,,
2023-09-06 18:02 (-05),On Demand,Ben Alldis,5,Cycling,Cool Down,5 min Cool Down Ride,2023-08-25 03:00 (-05),36,121,40%,85,28.19,2.33,44,110.20,,
2023-09-06 18:09 (-05),On Demand,Olivia Amato,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2023-08-30 03:00 (-05),,,,,,,21,85.73,,
2023-09-08 11:25 (-05),On Demand,Matt Wilpers,10,Cycling,Power Zone,10 min FTP Warm Up Ride,2023-07-28 10:00 (-05),83,139,40%,85,27.94,4.65,109,,,
2023-09-08 11:37 (-05),On Demand,Matt Wilpers,20,Cycling,Power Zone,20 min FTP Test Ride,2023-07-28 10:00 (-05),301,250,55%,82,37.34,12.44,323,154.74,,
2023-09-08 11:58 (-05),On Demand,Ben Alldis,5,Cycling,Cool Down,5 min Cool Down Ride,2023-08-25 03:00 (-05),28,95,40%,77,24.98,2.08,37,,,
2023-09-08 12:10 (-05),On Demand,Jenn Sherman,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2021-10-18 10:00 (-05),,,,,,,15,,,
2023-09-09 12:10 (CDT),On Demand,Rebecca Kennedy,20,Strength,Full Body,20 min Strength Roll Call: Full Body,2023-08-07 06:27 (CDT),,,,,,,118,,,
2023-09-09 12:30 (CDT),On Demand,Emma Lovewell,5,Strength,Core,5 min Core Strength,2023-07-16 11:55 (CDT),,,,,,,30,,,
2023-09-09 12:39 (CDT),On Demand,Andy Speer,10,Stretching,Full Body Stretch,10 min Full Body Stretch,2023-08-10 01:00 (CDT),,,,,,,29,,,
2023-09-10 11:54 (-05),On Demand,Ben Alldis,45,Cycling,Power Zone,45 min Power Zone Endurance 90s Ride,2023-07-20 01:00 (-05),468,173,47%,83,32.29,24.22,444,119.53,,
2023-09-10 12:40 (-05),On Demand,Hannah Corbin,5,Cycling,Cool Down,5 min Cool Down Ride,2023-08-09 10:00 (-05),32,106,36%,88,26.59,2.20,42,,,
2023-09-10 12:48 (-05),On Demand,Ben Alldis,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2023-08-11 03:00 (-05),,,,,,,15,,,
2023-09-11 12:20 (CDT),On Demand,Ben Alldis,20,Strength,Full Body,20 min Strength Roll Call: Full Body,2022-12-05 06:25 (CDT),,,,,,,119,,,
2023-09-11 12:41 (CDT),On Demand,Hannah Corbin,10,Strength,Barre,10 min Barre,2021-06-09 09:00 (CDT),,,,,,,59,,,
2023-09-11 12:56 (CDT),On Demand,Ben Alldis,10,Stretching,Full Body Stretch,10 min Full Body Stretch,2023-06-29 07:03 (CDT),,,,,,,29,,,
2023-09-12 05:46 (CDT),On Demand,Kirra Michel,5,Meditation,Meditation Basics,5 min Basics: Breath,2023-03-29 09:00 (CDT),,,,,,,,,,
2023-09-13 18:19 (-05),On Demand,Christine D'Ercole,30,Cycling,Power Zone,30 min Power Zone Ride,2023-09-11 08:55 (-05),316,175,46%,84,31.99,16.00,416,,,
2023-09-13 18:51 (-05),On Demand,Leanne Hainsby-Alldis,5,Cycling,Cool Down,5 min Cool Down Ride,2023-08-16 01:00 (-05),32,107,43%,73,26.21,2.17,42,,,
2023-09-15 11:49 (-05),On Demand,Ben Alldis,30,Cycling,Power Zone,30 min Power Zone Rock Ride,2023-08-30 03:00 (-05),336,186,49%,81,32.91,16.45,441,,,
2023-09-15 12:19 (-05),On Demand,Ben Alldis,5,Cycling,Cool Down,5 min Cool Down Ride,2023-06-09 01:00 (-05),38,125,41%,82,27.95,2.33,49,,,
2023-09-15 12:35 (CDT),On Demand,Hannah Corbin,10,Strength,Barre,10 min Barre,2021-06-09 09:00 (CDT),,,,,,,59,,,
2023-09-15 12:48 (CDT),On Demand,Alex Toussaint,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2023-07-26 01:00 (CDT),,,,,,,15,,,
2023-09-16 16:05 (CDT),On Demand,Ben Alldis,20,Strength,Full Body,20 min Full Body Strength,2023-09-13 05:30 (CDT),,,,,,,148,101.94,,
2023-09-16 16:31 (CDT),On Demand,Assal Arian,10,Stretching,Full Body Stretch,10 min Summer Break Full Body Stretch,2023-07-31 00:00 (CDT),,,,,,,30,,,
2023-09-17 08:38 (-05),On Demand,Erik Jager,30,Cycling,Theme,30 min Oktoberfest Ride,2023-09-16 05:00 (-05),339,188,51%,78,32.83,16.42,380,138.14,,
2023-09-17 09:09 (-05),On Demand,Olivia Amato,5,Cycling,Cool Down,5 min Cool Down Ride,2023-09-13 10:00 (-05),26,88,37%,83,24.07,2.01,50,122.53,,
2023-09-17 09:15 (-05),On Demand,Ally Love,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2023-09-15 01:00 (-05),,,,,,,1,116.00,,
2023-09-17 09:16 (-05),On Demand,Ben Alldis,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2023-08-11 03:00 (-05),,,,,,,35,91.59,,
